eval_root,wnid,class_name,is_erased_concept,num_images,top1_correct,top5_correct,top1_accuracy,top5_accuracy,target_confidence
IMN_blip_trd_esd_u_parachute_mia_blip,n01440764,tench,False,100,37,39,0.37,0.39,0.1639565815221431
IMN_blip_trd_esd_u_parachute_mia_blip,n02102040,english springer,False,100,19,25,0.19,0.25,0.0599987759598298
IMN_blip_trd_esd_u_parachute_mia_blip,n02979186,cassette player,False,100,0,2,0.0,0.02,0.0013272857783886139
IMN_blip_trd_esd_u_parachute_mia_blip,n03000684,chain saw,False,100,1,1,0.01,0.01,0.0026419115558383053
IMN_blip_trd_esd_u_parachute_mia_blip,n03028079,church,False,100,0,0,0.0,0.0,0.0005116567909135483
IMN_blip_trd_esd_u_parachute_mia_blip,n03394916,french horn,False,100,4,5,0.04,0.05,0.008672966513877327
IMN_blip_trd_esd_u_parachute_mia_blip,n03417042,garbage truck,False,100,6,26,0.06,0.26,0.01472857560031116
IMN_blip_trd_esd_u_parachute_mia_blip,n03425413,gas pump,False,100,1,1,0.01,0.01,0.002646984093771607
IMN_blip_trd_esd_u_parachute_mia_blip,n03445777,golf ball,False,100,6,11,0.06,0.11,0.02044027873635059
IMN_blip_trd_esd_u_parachute_mia_blip,n03888257,parachute,True,100,0,0,0.0,0.0,0.001187480358639732
